Team,Driver,Stint,Compound,TyreLife,round,year
Ferrari,RAI,1,ULTRASOFT,22.0,1,2018
Ferrari,RAI,2,SOFT,40.0,1,2018
Ferrari,VET,1,ULTRASOFT,29.0,1,2018
Ferrari,VET,2,SOFT,33.0,1,2018
Ferrari,VET,2,ULTRASOFT,5.0,1,2018
Force India,OCO,1,ULTRASOFT,24.0,1,2018
Force India,OCO,2,SOFT,35.0,1,2018
Force India,PER,1,ULTRASOFT,25.0,1,2018
Force India,PER,2,SOFT,34.0,1,2018
Haas F1 Team,GRO,1,ULTRASOFT,28.0,1,2018
Haas F1 Team,MAG,1,ULTRASOFT,26.0,1,2018
McLaren,ALO,1,ULTRASOFT,27.0,1,2018
McLaren,ALO,2,SOFT,32.0,1,2018
McLaren,VAN,1,ULTRASOFT,26.0,1,2018
McLaren,VAN,2,SUPERSOFT,33.0,1,2018
Mercedes,BOT,1,ULTRASOFT,29.0,1,2018
Mercedes,BOT,2,SUPERSOFT,33.0,1,2018
Mercedes,HAM,1,ULTRASOFT,23.0,1,2018
Mercedes,HAM,2,SOFT,39.0,1,2018
Red Bull Racing,RIC,1,SUPERSOFT,30.0,1,2018
Red Bull Racing,RIC,2,SOFT,32.0,1,2018
Red Bull Racing,VER,1,SUPERSOFT,25.0,1,2018
Red Bull Racing,VER,2,SOFT,37.0,1,2018
Renault,HUL,1,ULTRASOFT,28.0,1,2018
Renault,HUL,2,SOFT,34.0,1,2018
Renault,SAI,1,ULTRASOFT,26.0,1,2018
Renault,SAI,2,SOFT,36.0,1,2018
Sauber,ERI,1,SUPERSOFT,7.0,1,2018
Sauber,LEC,1,SUPERSOFT,21.0,1,2018
Sauber,LEC,2,SOFT,7.0,1,2018
Sauber,LEC,3,ULTRASOFT,31.0,1,2018
Toro Rosso,GAS,1,ULTRASOFT,15.0,1,2018
Toro Rosso,HAR,2,SOFT,21.0,1,2018
Toro Rosso,HAR,3,SOFT,2.0,1,2018
Toro Rosso,HAR,3,ULTRASOFT,37.0,1,2018
Williams,SIR,1,SUPERSOFT,5.0,1,2018
Williams,STR,1,SUPERSOFT,26.0,1,2018
Williams,STR,2,SOFT,4.0,1,2018
Williams,STR,3,ULTRASOFT,29.0,1,2018
Ferrari,RAI,1,SUPERSOFT,22.0,2,2018
Ferrari,RAI,2,SOFT,16.0,2,2018
Ferrari,RAI,2,SUPERSOFT,5.0,2,2018
