Team,Driver,Stint,Compound,TyreLife,round,year,Compound_num
Ferrari,RAI,1.0,ULTRASOFT,22.0,1,2018,4 ULTRASOFT
Ferrari,RAI,2.0,SOFT,40.0,1,2018,6 SOFT
Ferrari,VET,1.0,ULTRASOFT,29.0,1,2018,4 ULTRASOFT
Ferrari,VET,2.0,SOFT,33.0,1,2018,6 SOFT
Ferrari,VET,2.0,ULTRASOFT,5.0,1,2018,4 ULTRASOFT
Force India,OCO,1.0,ULTRASOFT,24.0,1,2018,4 ULTRASOFT
Force India,OCO,2.0,SOFT,35.0,1,2018,6 SOFT
Force India,PER,1.0,ULTRASOFT,25.0,1,2018,4 ULTRASOFT
Force India,PER,2.0,SOFT,34.0,1,2018,6 SOFT
Haas F1 Team,GRO,1.0,ULTRASOFT,28.0,1,2018,4 ULTRASOFT
Haas F1 Team,MAG,1.0,ULTRASOFT,26.0,1,2018,4 ULTRASOFT
McLaren,ALO,1.0,ULTRASOFT,27.0,1,2018,4 ULTRASOFT
McLaren,ALO,2.0,SOFT,32.0,1,2018,6 SOFT
McLaren,VAN,1.0,ULTRASOFT,26.0,1,2018,4 ULTRASOFT
McLaren,VAN,2.0,SUPERSOFT,33.0,1,2018,5 SUPERSOFT
Mercedes,BOT,1.0,ULTRASOFT,29.0,1,2018,4 ULTRASOFT
Mercedes,BOT,2.0,SUPERSOFT,33.0,1,2018,5 SUPERSOFT
Mercedes,HAM,1.0,ULTRASOFT,23.0,1,2018,4 ULTRASOFT
Mercedes,HAM,2.0,SOFT,39.0,1,2018,6 SOFT
Red Bull Racing,RIC,1.0,SUPERSOFT,30.0,1,2018,5 SUPERSOFT
Red Bull Racing,RIC,2.0,SOFT,32.0,1,2018,6 SOFT
Red Bull Racing,VER,1.0,SUPERSOFT,25.0,1,2018,5 SUPERSOFT
Red Bull Racing,VER,2.0,SOFT,37.0,1,2018,6 SOFT
Renault,HUL,1.0,ULTRASOFT,28.0,1,2018,4 ULTRASOFT
Renault,HUL,2.0,SOFT,34.0,1,2018,6 SOFT
Renault,SAI,1.0,ULTRASOFT,26.0,1,2018,4 ULTRASOFT
Renault,SAI,2.0,SOFT,36.0,1,2018,6 SOFT
Sauber,ERI,1.0,SUPERSOFT,7.0,1,2018,5 SUPERSOFT
Sauber,LEC,1.0,SUPERSOFT,21.0,1,2018,5 SUPERSOFT
Sauber,LEC,2.0,SOFT,7.0,1,2018,6 SOFT
Sauber,LEC,3.0,ULTRASOFT,31.0,1,2018,4 ULTRASOFT
Toro Rosso,GAS,1.0,ULTRASOFT,15.0,1,2018,4 ULTRASOFT
Toro Rosso,HAR,2.0,SOFT,21.0,1,2018,6 SOFT
Toro Rosso,HAR,3.0,SOFT,2.0,1,2018,6 SOFT
Toro Rosso,HAR,3.0,ULTRASOFT,37.0,1,2018,4 ULTRASOFT
Williams,SIR,1.0,SUPERSOFT,5.0,1,2018,5 SUPERSOFT
Williams,STR,1.0,SUPERSOFT,26.0,1,2018,5 SUPERSOFT
Williams,STR,2.0,SOFT,4.0,1,2018,6 SOFT
Williams,STR,3.0,ULTRASOFT,29.0,1,2018,4 ULTRASOFT
Ferrari,RAI,1.0,SUPERSOFT,22.0,2,2018,5 SUPERSOFT
Ferrari,RAI,2.0,SOFT,16.0,2,2018,6 SOFT
Ferrari,RAI,2.0,SUPERSOFT,5.0,2,2018,5 SUPERSOFT
Ferrari,VET,1.0,SUPERSOFT,21.0,2,2018,5 SUPERSOFT
Ferrari,VET,2.0,SOFT,39.0,2,2018,6 SOFT
