year,round,Team,Driver,Compound
2018,1,Ferrari,RAI,"['ULTRASOFT', 'SOFT']"
2018,1,Ferrari,VET,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,1,Force India,OCO,"['ULTRASOFT', 'SOFT']"
2018,1,Force India,PER,"['ULTRASOFT', 'SOFT']"
2018,1,Haas F1 Team,GRO,['ULTRASOFT']
2018,1,Haas F1 Team,MAG,['ULTRASOFT']
2018,1,McLaren,ALO,"['ULTRASOFT', 'SOFT']"
2018,1,McLaren,VAN,"['ULTRASOFT', 'SUPERSOFT']"
2018,1,Mercedes,BOT,"['ULTRASOFT', 'SUPERSOFT']"
2018,1,Mercedes,HAM,"['ULTRASOFT', 'SOFT']"
2018,1,Red Bull Racing,RIC,"['SUPERSOFT', 'SOFT']"
2018,1,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,1,Renault,HUL,"['ULTRASOFT', 'SOFT']"
2018,1,Renault,SAI,"['ULTRASOFT', 'SOFT']"
2018,1,Sauber,ERI,['SUPERSOFT']
2018,1,Sauber,LEC,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,1,Toro Rosso,GAS,['ULTRASOFT']
2018,1,Toro Rosso,HAR,"['SOFT', 'SOFT', 'ULTRASOFT']"
2018,1,Williams,SIR,['SUPERSOFT']
2018,1,Williams,STR,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,2,Ferrari,RAI,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,2,Ferrari,VET,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,2,Force India,OCO,"['SUPERSOFT', 'MEDIUM', 'SOFT']"
2018,2,Force India,PER,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,2,Haas F1 Team,GRO,"['SUPERSOFT', 'SOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,2,Haas F1 Team,MAG,"['SUPERSOFT', 'SUPERSOFT', 'SOFT']"
2018,2,McLaren,ALO,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,2,McLaren,VAN,"['SUPERSOFT', 'SOFT', 'MEDIUM']"
2018,2,Mercedes,BOT,"['SUPERSOFT', 'MEDIUM', 'SUPERSOFT']"
2018,2,Mercedes,HAM,"['SOFT', 'MEDIUM', 'SOFT']"
2018,2,Red Bull Racing,VER,"['SOFT', 'SUPERSOFT']"
2018,2,Renault,HUL,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
