year,Compound,round
2018,"('HYPERSOFT',)",3
2018,"('HYPERSOFT', 'HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT')",1
2018,"('HYPERSOFT', 'SOFT')",11
2018,"('HYPERSOFT', 'SOFT', 'ULTRASOFT')",1
2018,"('HYPERSOFT', 'SUPERSOFT')",19
2018,"('HYPERSOFT', 'SUPERSOFT', 'SUPERSOFT')",2
2018,"('HYPERSOFT', 'ULTRASOFT')",10
2018,"('HYPERSOFT', 'ULTRASOFT', 'HYPERSOFT')",1
2018,"('HYPERSOFT', 'ULTRASOFT', 'SOFT', 'SOFT')",1
2018,"('MEDIUM',)",1
2018,"('MEDIUM', 'HARD')",1
2018,"('MEDIUM', 'HARD', 'SOFT')",1
2018,"('MEDIUM', 'MEDIUM')",1
2018,"('MEDIUM', 'MEDIUM', 'MEDIUM', 'SOFT', 'ULTRASOFT')",1
2018,"('MEDIUM', 'SOFT')",3
2018,"('MEDIUM', 'SOFT', 'MEDIUM')",1
2018,"('MEDIUM', 'SOFT', 'MEDIUM', 'SUPERSOFT', 'SUPERSOFT')",1
2018,"('MEDIUM', 'SUPERSOFT')",2
2018,"('MEDIUM', 'ULTRASOFT')",1
2018,"('SOFT',)",15
2018,"('SOFT', 'MEDIUM')",35
2018,"('SOFT', 'MEDIUM', 'INTERMEDIATE')",1
2018,"('SOFT', 'MEDIUM', 'INTERMEDIATE', 'SOFT')",1
2018,"('SOFT', 'MEDIUM', 'MEDIUM')",1
2018,"('SOFT', 'MEDIUM', 'SOFT')",21
2018,"('SOFT', 'MEDIUM', 'SUPERSOFT')",12
2018,"('SOFT', 'MEDIUM', 'ULTRASOFT')",3
2018,"('SOFT', 'SOFT')",1
2018,"('SOFT', 'SOFT', 'MEDIUM', 'SOFT')",1
2018,"('SOFT', 'SOFT', 'SOFT', 'ULTRASOFT')",1
2018,"('SOFT', 'SOFT', 'ULTRASOFT')",1
2018,"('SOFT', 'SUPERSOFT')",13
2018,"('SOFT', 'SUPERSOFT', 'MEDIUM')",1
2018,"('SOFT', 'SUPERSOFT', 'SOFT')",2
2018,"('SOFT', 'SUPERSOFT', 'SUPERSOFT')",1
2018,"('SOFT', 'SUPERSOFT', 'ULTRASOFT')",1
2018,"('SOFT', 'ULTRASOFT')",16
